gradeChar,multiple,pointsValue,points
A++,1,75,75
A+,0.99,75,74.25
A+,0.98,75,73.5
A+,0.97,75,72.75
A,0.96,75,72
A,0.95,75,71.25
A,0.94,75,70.5
A,0.93,75,69.75
A-,0.92,75,69
A-,0.91,75,68.25
A-,0.9,75,67.5
B+,0.89,75,66.75
B+,0.88,75,66
B+,0.87,75,65.25
B,0.86,75,64.5
B,0.85,75,63.75
B,0.84,75,63
B,0.83,75,62.25
B-,0.82,75,61.5
B-,0.81,75,60.75
B-,0.8,75,60
C+,0.79,75,59.25
C+,0.78,75,58.5
C+,0.77,75,57.75
C,0.76,75,57
C,0.75,75,56.25
C,0.74,75,55.5
C,0.73,75,54.75
C-,0.72,75,54
C-,0.71,75,53.25
C-,0.7,75,52.5
D,0.69,75,51.75
D,0.68,75,51
F+,0.67,75,50.25
F,0.66,75,49.5
F-,0,75,0
A++,1,100,100
A+,0.99,100,99
A+,0.98,100,98
A+,0.97,100,97
A,0.96,100,96
A,0.95,100,95
A,0.94,100,94
A,0.93,100,93
A-,0.92,100,92
A-,0.91,100,91
A-,0.9,100,90
B+,0.89,100,89
B+,0.88,100,88
B+,0.87,100,87
B,0.86,100,86
B,0.85,100,85
B,0.84,100,84
B,0.83,100,83
B-,0.82,100,82
B-,0.81,100,81
B-,0.8,100,80
C+,0.79,100,79
C+,0.78,100,78
C+,0.77,100,77
C,0.76,100,76
C,0.75,100,75
C,0.74,100,74
C,0.73,100,73
C-,0.72,100,72
C-,0.71,100,71
C-,0.7,100,70
D,0.69,100,69
D,0.68,100,68
F+,0.67,100,67
F,0.66,100,66
F-,0,100,0
A++,1,125,125
A+,0.99,125,123.75
A+,0.98,125,122.5
A+,0.97,125,121.25
A,0.96,125,120
A,0.95,125,118.75
A,0.94,125,117.5
A,0.93,125,116.25
A-,0.92,125,115
A-,0.91,125,113.75
A-,0.9,125,112.5
B+,0.89,125,111.25
B+,0.88,125,110
B+,0.87,125,108.75
B,0.86,125,107.5
B,0.85,125,106.25
B,0.84,125,105
B,0.83,125,103.75
B-,0.82,125,102.5
B-,0.81,125,101.25
B-,0.8,125,100
C+,0.79,125,98.75
C+,0.78,125,97.5
C+,0.77,125,96.25
C,0.76,125,95
C,0.75,125,93.75
C,0.74,125,92.5
C,0.73,125,91.25
C-,0.72,125,90
C-,0.71,125,88.75
C-,0.7,125,87.5
D,0.69,125,86.25
D,0.68,125,85
F+,0.67,125,83.75
F,0.66,125,82.5
F-,0,125,0
A++,1,150,150
A+,0.99,150,148.5
A+,0.98,150,147
A+,0.97,150,145.5
A,0.96,150,144
A,0.95,150,142.5
A,0.94,150,141
A,0.93,150,139.5
A-,0.92,150,138
A-,0.91,150,136.5
A-,0.9,150,135
B+,0.89,150,133.5
B+,0.88,150,132
B+,0.87,150,130.5
B,0.86,150,129
B,0.85,150,127.5
B,0.84,150,126
B,0.83,150,124.5
B-,0.82,150,123
B-,0.81,150,121.5
B-,0.8,150,120
C+,0.79,150,118.5
C+,0.78,150,117
C+,0.77,150,115.5
C,0.76,150,114
C,0.75,150,112.5
C,0.74,150,111
C,0.73,150,109.5
C-,0.72,150,108
C-,0.71,150,106.5
C-,0.7,150,105
D,0.69,150,103.5
D,0.68,150,102
F+,0.67,150,100.5
F,0.66,150,99
F-,0,150,0
A++,1,175,175
A+,0.99,175,173.25
A+,0.98,175,171.5
A+,0.97,175,169.75
A,0.96,175,168
A,0.95,175,166.25
A,0.94,175,164.5
A,0.93,175,162.75
A-,0.92,175,161
A-,0.91,175,159.25
A-,0.9,175,157.5
B+,0.89,175,155.75
B+,0.88,175,154
B+,0.87,175,152.25
B,0.86,175,150.5
B,0.85,175,148.75
B,0.84,175,147
B,0.83,175,145.25
B-,0.82,175,143.5
B-,0.81,175,141.75
B-,0.8,175,140
C+,0.79,175,138.25
C+,0.78,175,136.5
C+,0.77,175,134.75
C,0.76,175,133
C,0.75,175,131.25
C,0.74,175,129.5
C,0.73,175,127.75
C-,0.72,175,126
C-,0.71,175,124.25
C-,0.7,175,122.5
D,0.69,175,120.75
D,0.68,175,119
F+,0.67,175,117.25
F,0.66,175,115.5
F-,0,175,0
A++,1,200,200
A+,0.99,200,198
A+,0.98,200,196
A+,0.97,200,194
A,0.96,200,192
A,0.95,200,190
A,0.94,200,188
A,0.93,200,186
A-,0.92,200,184
A-,0.91,200,182
A-,0.9,200,180
B+,0.89,200,178
B+,0.88,200,176
B+,0.87,200,174
B,0.86,200,172
B,0.85,200,170
B,0.84,200,168
B,0.83,200,166
B-,0.82,200,164
B-,0.81,200,162
B-,0.8,200,160
C+,0.79,200,158
C+,0.78,200,156
C+,0.77,200,154
C,0.76,200,152
C,0.75,200,150
C,0.74,200,148
C,0.73,200,146
C-,0.72,200,144
C-,0.71,200,142
C-,0.7,200,140
D,0.69,200,138
D,0.68,200,136
F+,0.67,200,134
F,0.66,200,132
F-,0,200,0
A++,1,225,225
A+,0.99,225,222.75
A+,0.98,225,220.5
A+,0.97,225,218.25
A,0.96,225,216
A,0.95,225,213.75
A,0.94,225,211.5
A,0.93,225,209.25
A-,0.92,225,207
A-,0.91,225,204.75
A-,0.9,225,202.5
B+,0.89,225,200.25
B+,0.88,225,198
B+,0.87,225,195.75
B,0.86,225,193.5
B,0.85,225,191.25
B,0.84,225,189
B,0.83,225,186.75
B-,0.82,225,184.5
B-,0.81,225,182.25
B-,0.8,225,180
C+,0.79,225,177.75
C+,0.78,225,175.5
C+,0.77,225,173.25
C,0.76,225,171
C,0.75,225,168.75
C,0.74,225,166.5
C,0.73,225,164.25
C-,0.72,225,162
C-,0.71,225,159.75
C-,0.7,225,157.5
D,0.69,225,155.25
D,0.68,225,153
F+,0.67,225,150.75
F,0.66,225,148.5
F-,0,225,0
A++,1,250,250
A+,0.99,250,247.5
A+,0.98,250,245
A+,0.97,250,242.5
A,0.96,250,240
A,0.95,250,237.5
A,0.94,250,235
A,0.93,250,232.5
A-,0.92,250,230
A-,0.91,250,227.5
A-,0.9,250,225
B+,0.89,250,222.5
B+,0.88,250,220
B+,0.87,250,217.5
B,0.86,250,215
B,0.85,250,212.5
B,0.84,250,210
B,0.83,250,207.5
B-,0.82,250,205
B-,0.81,250,202.5
B-,0.8,250,200
C+,0.79,250,197.5
C+,0.78,250,195
C+,0.77,250,192.5
C,0.76,250,190
C,0.75,250,187.5
C,0.74,250,185
C,0.73,250,182.5
C-,0.72,250,180
C-,0.71,250,177.5
C-,0.7,250,175
D,0.69,250,172.5
D,0.68,250,170
F+,0.67,250,167.5
F,0.66,250,165
F-,0,250,0
A++,1,275,275
A+,0.99,275,272.25
A+,0.98,275,269.5
A+,0.97,275,266.75
A,0.96,275,264
A,0.95,275,261.25
A,0.94,275,258.5
A,0.93,275,255.75
A-,0.92,275,253
A-,0.91,275,250.25
A-,0.9,275,247.5
B+,0.89,275,244.75
B+,0.88,275,242
B+,0.87,275,239.25
B,0.86,275,236.5
B,0.85,275,233.75
B,0.84,275,231
B,0.83,275,228.25
B-,0.82,275,225.5
B-,0.81,275,222.75
B-,0.8,275,220
C+,0.79,275,217.25
C+,0.78,275,214.5
C+,0.77,275,211.75
C,0.76,275,209
C,0.75,275,206.25
C,0.74,275,203.5
C,0.73,275,200.75
C-,0.72,275,198
C-,0.71,275,195.25
C-,0.7,275,192.5
D,0.69,275,189.75
D,0.68,275,187
F+,0.67,275,184.25
F,0.66,275,181.5
F-,0,275,0
A++,1,300,300
A+,0.99,300,297
A+,0.98,300,294
A+,0.97,300,291
A,0.96,300,288
A,0.95,300,285
A,0.94,300,282
A,0.93,300,279
A-,0.92,300,276
A-,0.91,300,273
A-,0.9,300,270
B+,0.89,300,267
B+,0.88,300,264
B+,0.87,300,261
B,0.86,300,258
B,0.85,300,255
B,0.84,300,252
B,0.83,300,249
B-,0.82,300,246
B-,0.81,300,243
B-,0.8,300,240
C+,0.79,300,237
C+,0.78,300,234
C+,0.77,300,231
C,0.76,300,228
C,0.75,300,225
C,0.74,300,222
C,0.73,300,219
C-,0.72,300,216
C-,0.71,300,213
C-,0.7,300,210
D,0.69,300,207
D,0.68,300,204
F+,0.67,300,201
F,0.66,300,198
F-,0,300,0
